# # resonator_length (cm), resonant_frequency (Hz)
1.600000000000000000e+01,1.802978342453148651e+10
1.606734693877551123e+01,1.795481677792789459e+10
1.613469387755101891e+01,1.788047589360533142e+10
1.620204081632653015e+01,1.780675297827747726e+10
1.626938775510204138e+01,1.773364036769057465e+10
1.633673469387755262e+01,1.766113052396525955e+10
1.640408163265306030e+01,1.758921603300390625e+10
1.647142857142857153e+01,1.751788960196154404e+10
1.653877551020408276e+01,1.744714405677861786e+10
1.660612244897959044e+01,1.737697233977371597e+10
1.667346938775510168e+01,1.730736750729468155e+10
1.674081632653061291e+01,1.723832272742642212e+10
1.680816326530612415e+01,1.716983127775379372e+10
1.687551020408163183e+01,1.710188654317808914e+10
1.694285714285714306e+01,1.703448201378557014e+10
1.701020408163265429e+01,1.696761128276667976e+10
1.707755102040816197e+01,1.690126804438444519e+10
1.714489795918367321e+01,1.683544609199080086e+10
1.721224489795918444e+01,1.677013931608946228e+10
1.727959183673469568e+01,1.670534170244413757e+10
1.734693877551020336e+01,1.664104733023076248e+10
1.741428571428571459e+01,1.657725037023265839e+10
1.748163265306122582e+01,1.651394508307740211e+10
1.754897959183673350e+01,1.645112581751429558e+10
1.761632653061224474e+01,1.638878700873135567e+10
1.768367346938775597e+01,1.632692317671078873e+10
1.775102040816326721e+01,1.626552892462187958e+10
1.781836734693877489e+01,1.620459893725035286e+10
1.788571428571428612e+01,1.614412797946323204e+10
1.795306122448979735e+01,1.608411089470825768e+10
1.802040816326530859e+01,1.602454260354695892e+10
1.808775510204081627e+01,1.596541810222051811e+10
1.815510204081632750e+01,1.590673246124757004e+10
1.822244897959183874e+01,1.584848082405308151e+10
1.828979591836734642e+01,1.579065840562759209e+10
1.835714285714285765e+01,1.573326049121590996e+10
1.842448979591836888e+01,1.567628243503465080e+10
1.849183673469387656e+01,1.561971965901777267e+10
1.855918367346938780e+01,1.556356765158945465e+10
1.862653061224489903e+01,1.550782196646361732e+10
1.869387755102041027e+01,1.545247822146940804e+10
1.876122448979591795e+01,1.539753209740199661e+10
1.882857142857142918e+01,1.534297933689804840e+10
1.889591836734694041e+01,1.528881574333529282e+10
1.896326530612245165e+01,1.523503717975552750e+10
1.903061224489795933e+01,1.518163956781052780e+10
1.909795918367347056e+01,1.512861888673028183e+10
1.916530612244898180e+01,1.507597117231299973e+10
1.923265306122448948e+01,1.502369251593637848e+10
1.930000000000000071e+01,1.497177906358955193e+10
