# resonator_length (cm), resonant_frequency (Hz)
1.290000000000000036e+01,1.800368187136466217e+10
1.295306122448979558e+01,1.793042012118184280e+10
1.300612244897959258e+01,1.785775579111736298e+10
1.305918367346938780e+01,1.778568160497546005e+10
1.311224489795918480e+01,1.771419040430229187e+10
1.316530612244898002e+01,1.764327514601396942e+10
1.321836734693877524e+01,1.757292890008169937e+10
1.327142857142857224e+01,1.750314484727244568e+10
1.332448979591836746e+01,1.743391627694359589e+10
1.337755102040816269e+01,1.736523658489002228e+10
1.343061224489795968e+01,1.729709927124227524e+10
1.348367346938775491e+01,1.722949793841431046e+10
1.353673469387755190e+01,1.716242628909950256e+10
1.358979591836734713e+01,1.709587812431361389e+10
1.364285714285714235e+01,1.702984734148338127e+10
1.369591836734693935e+01,1.696432793257957840e+10
1.374897959183673457e+01,1.689931398229325485e+10
1.380204081632653157e+01,1.683479966625406647e+10
1.385510204081632679e+01,1.677077924928952789e+10
1.390816326530612201e+01,1.670724708372409058e+10
1.396122448979591901e+01,1.664419760771702957e+10
1.401428571428571423e+01,1.658162534363804436e+10
1.406734693877551123e+01,1.651952489647968483e+10
1.412040816326530646e+01,1.645789095230545044e+10
1.417346938775510168e+01,1.639671827673288345e+10
1.422653061224489868e+01,1.633600171345046806e+10
1.427959183673469390e+01,1.627573618276769447e+10
1.433265306122449090e+01,1.621591668019725227e+10
1.438571428571428612e+01,1.615653827506865501e+10
1.443877551020408134e+01,1.609759610917237091e+10
1.449183673469387834e+01,1.603908539543377304e+10
1.454489795918367356e+01,1.598100141661609650e+10
1.459795918367346879e+01,1.592333952405169868e+10
1.465102040816326578e+01,1.586609513640083885e+10
1.470408163265306101e+01,1.580926373843738174e+10
1.475714285714285623e+01,1.575284087986065483e+10
1.481020408163265323e+01,1.569682217413285446e+10
1.486326530612244845e+01,1.564120329734136963e+10
1.491632653061224545e+01,1.558597998708534431e+10
1.496938775510204067e+01,1.553114804138595963e+10
1.502244897959183589e+01,1.547670331761977005e+10
1.507551020408163289e+01,1.542264173147459030e+10
1.512857142857142811e+01,1.536895925592733192e+10
1.518163265306122511e+01,1.531565192024328232e+10
1.523469387755102034e+01,1.526271580899630547e+10
1.528775510204081556e+01,1.521014706110939980e+10
1.534081632653061256e+01,1.515794186891521835e+10
1.539387755102040778e+01,1.510609647723599625e+10
1.544693877551020478e+01,1.505460718248240852e+10
1.550000000000000000e+01,1.500347033177099419e+10
